ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
74.142875 -70.110556 3.5683067 4.1e-06 0.486 6002.52468 16.002 15.254 14.824 14.503 14.428 0.026 0.033 0.042 AAA 2451908.6319
74.092167 -70.381472 3.8439281 6.2e-06 0.467 6002.47099 16.413 15.502 14.825 14.59 14.426 0.027 0.037 0.042 AAA 2451908.633
74.431375 -70.053556 3.9792303 9e-06 0.342 6001.49679 15.342 14.489 13.741 13.362 13.258 0.022 0.024 0.024 AAA 2451898.654
74.437917 -70.601611 5.2393865 1.26e-05 0.567 6003.49682 15.304 14.6 14.144 13.769 13.692 0.019 0.023 0.026 AAA 2451898.6518
74.437917 -70.601611 4.1703244 8.5e-06 0.481 6001.42454 15.771 15.024 14.144 13.769 13.692 0.019 0.023 0.026 AAA 2451898.6518
74.56925 -70.629806 5.2647675 8.18e-05 0.071 6000.63114 15.127 14.556 14.17 13.893 13.846 0.02 0.025 0.03 AAA 2451898.6911
74.98775 -70.921667 8.3735403 2.1e-05 0.499 6006.54802 14.781 14.032 15.128 14.784 14.718 0.028 0.036 0.055 AAA 2451898.709
74.56925 -70.629806 3.1226768 6.3e-06 0.364 6000.07351 16.189 15.448 14.17 13.893 13.846 0.02 0.025 0.03 AAA 2451898.6911
74.636583 -70.346028 35.7309134 0.0016214 -99.99 -99.99 13.319 -99.99 11.897 11.48 11.329 0.02 0.022 0.021 AAA 2451898.69
74.650542 -70.110667 17.2788297 0.0002956 -99.99 -99.99 13.661 -99.99 12.282 11.897 11.755 0.019 0.021 0.02 AAA 2451898.6891
74.98775 -70.921667 3.0115182 9.1e-06 0.191 6002.74482 16.166 15.458 15.128 14.784 14.718 0.028 0.036 0.055 AAA 2451898.709
74.98775 -70.921667 5.2297002 1.12e-05 0.494 6004.34379 15.355 14.646 15.128 14.784 14.718 0.028 0.036 0.055 AAA 2451898.709
74.696292 -70.061583 15.8315648 0.0012231 0.539 6013.05803 -99.99 13.278 12.507 12.171 12.046 0.018 0.021 0.02 AAA 2451898.6889
74.650542 -70.110667 3.5559825 5.4e-06 0.365 6001.09258 15.941 15.202 12.282 11.897 11.755 0.019 0.021 0.02 AAA 2451898.6891
74.79775 -70.370111 2.5500903 2.3e-06 0.539 6002.4156 15.951 15.436 15.134 14.825 14.694 0.024 0.037 0.046 AAA 2451898.7112
74.808458 -70.264861 3.0758274 3.3e-06 0.615 6000.92161 15.862 15.254 14.702 14.387 14.357 0.023 0.029 0.036 AAA 2451898.7116
74.97025 -70.277 5.4310007 1.09e-05 0.543 6000.57411 15.34 14.625 14.253 13.873 13.798 0.02 0.024 0.028 AAA 2451898.7115
74.98775 -70.921667 2.7690087 2.4e-06 0.551 6000.44041 16.159 15.497 15.128 14.784 14.718 0.028 0.036 0.055 AAA 2451898.709
72.831333 -70.94675 4.5447433 8.7e-06 0.446 6003.52945 15.762 14.997 14.449 14.136 14.064 0.022 0.026 0.033 AAA 2451903.6925
73.109542 -71.405056 4.529133 9.6e-06 0.45 6004.012 15.878 15.078 14.551 14.169 14.071 0.02 0.024 0.03 AAA 2451903.7071
73.20975 -71.299389 3.2928789 3.7e-06 0.65 6001.40408 15.847 15.179 14.778 14.387 14.316 0.021 0.026 0.035 AAA 2451903.7075
73.220375 -70.934806 2.6552363 3.2e-06 0.501 6000.89774 16.379 15.633 15.044 14.834 14.872 0.021 0.027 0.052 AAA 2451903.709
73.233333 -71.352111 4.6093413 6.4e-06 0.645 6000.20124 15.432 14.769 14.154 13.877 13.762 0.022 0.029 0.032 AAA 2451903.7073
73.36825 -70.827694 3.9531387 1e-05 0.448 6000.98433 15.895 15.119 14.608 14.207 14.198 0.023 0.028 0.033 AAA 2451903.7505
73.369417 -71.080278 3.4005559 5.1e-06 0.463 6000.45057 15.998 15.262 14.14 13.529 13.438 0.022 0.024 0.026 AAA 2451903.7515
73.499625 -71.109667 3.6559453 6.4e-06 0.439 6003.22908 16.03 15.251 14.826 14.434 14.254 0.022 0.026 0.035 AAA 2451903.7516
73.526 -70.812444 3.3401176 4.1e-06 0.497 6001.69805 15.909 15.22 14.577 14.3 14.281 0.021 0.028 0.031 AAA 2451903.7504
