ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
7.69425 -73.631472 1.8534738 1.7e-06 0.66 6000.04936 17.19 16.569 14.474 14.093 13.989 0.026 0.029 0.031 AAA 2451867.5775
8.025333 -73.755222 2.1761677 6.4e-06 0.353 6002.04882 17.373 16.703 16.336 15.977 15.657 0.053 0.088 0.108 AAB 2451901.5465
8.22875 -73.821972 15.8377104 0.000163 0.452 6006.86549 14.115 13.401 13.144 12.809 12.772 0.019 0.023 0.023 AAA 2451901.563
8.285625 -73.868 3.5425624 3.8e-06 0.634 6003.09177 16.317 15.675 15.095 14.787 14.718 0.024 0.036 0.050 AAA 2451901.5632
8.761542 -73.440694 13.7241439 0.0001563 0.491 6000.87464 14.937 14.017 16.258 15.888 15.821 0.04 0.065 0.116 AAB 2451905.5477
8.789958 -73.817722 1.1338103 3.5e-06 0.551 6001.01678 -99.99 17.553 16.711 16.22 16.013 0.053 0.090 0.144 AAB 2451905.5462
8.636833 -73.201167 1.4996063 1.2e-06 0.667 6000.51279 17.361 16.807 16.168 15.764 16.001 0.041 0.057 0.137 AAB 2451905.5487
8.619125 -74.045889 1.550452 9.9e-06 0.717 6000.91422 17.637 17.061 16.73 16.178 16.061 0.06 0.084 0.147 AAB 2451905.5453
8.636833 -73.201167 2.001959 2.3e-06 0.821 6000.41274 17.112 16.498 16.168 15.764 16.001 0.041 0.057 0.137 AAB 2451905.5487
8.761542 -73.440694 3.5796034 3.6e-06 0.746 6001.08011 16.122 15.517 16.258 15.888 15.821 0.04 0.065 0.116 AAB 2451905.5477
8.736208 -74.309917 3.8435441 9.9e-06 0.45 6003.47506 16.638 15.897 14.977 14.629 14.472 0.023 0.031 0.045 AAA 2451905.5442
8.674917 -73.738222 1.8989404 1.8e-06 0.609 6001.05663 17.194 16.62 16.134 15.882 15.902 0.037 0.061 0.119 AAB 2451905.5465
8.684917 -73.075361 2.5257408 8.9e-06 0.276 6000.17084 17.06 16.345 15.917 15.702 15.699 0.034 0.054 0.100 AAA 2451905.5492
8.684917 -73.075361 1.8008817 2.1e-06 0.574 6001.79607 17.307 16.659 15.917 15.702 15.699 0.034 0.054 0.100 AAA 2451905.5492
8.700333 -73.471028 1.8247834 2.8e-06 0.515 6000.90208 17.375 16.72 16.412 15.964 16.088 0.05 0.065 0.146 AAB 2451905.5476
8.684917 -73.075361 2.0726081 3.7e-06 0.584 6002.01223 17.083 16.454 15.917 15.702 15.699 0.034 0.054 0.100 AAA 2451905.5492
8.789958 -73.817722 1.0944036 1.2e-06 0.488 6000.76836 18.075 17.477 16.711 16.22 16.013 0.053 0.090 0.144 AAB 2451905.5462
8.736208 -74.309917 4.9779846 2.73e-05 0.247 6001.46477 16.316 15.539 14.977 14.629 14.472 0.023 0.031 0.045 AAA 2451905.5442
8.761542 -73.440694 2.0277171 5.6e-06 0.576 6000.54426 17.288 16.597 16.258 15.888 15.821 0.04 0.065 0.116 AAB 2451905.5477
8.636833 -73.201167 1.4438434 1.9e-06 0.444 6000.1741 17.61 17.003 16.168 15.764 16.001 0.041 0.057 0.137 AAB 2451905.5487
8.789958 -73.817722 1.5217493 1e-06 0.773 6001.19479 17.621 17.011 16.711 16.22 16.013 0.053 0.090 0.144 AAB 2451905.5462
8.674917 -73.738222 16.6795155 0.0001947 0.584 6002.39735 14.425 13.628 16.134 15.882 15.902 0.037 0.061 0.119 AAB 2451905.5465
8.684917 -73.075361 2.0224881 4.6e-06 0.481 6001.38013 17.577 16.918 15.917 15.702 15.699 0.034 0.054 0.100 AAA 2451905.5492
8.761542 -73.440694 1.0320817 8e-07 0.557 6000.30878 17.995 17.408 16.258 15.888 15.821 0.04 0.065 0.116 AAB 2451905.5477
8.99425 -73.4825 2.3407553 8.8e-06 0.457 6000.47646 17.057 16.364 15.304 14.937 14.911 0.028 0.041 0.058 AAA 2451876.538
8.99425 -73.4825 2.5167497 5.3e-06 0.5 6001.98186 16.905 16.27 15.304 14.937 14.911 0.028 0.041 0.058 AAA 2451876.538
8.674917 -73.738222 2.4168726 3e-06 0.81 6001.00465 16.649 16.098 16.134 15.882 15.902 0.037 0.061 0.119 AAB 2451905.5465
8.925917 -74.114778 1.2139358 1.3e-06 0.553 6000.07733 17.987 17.373 16.783 16.521 16.433 0.074 0.134 0.200 ABC 2451876.5354
8.789958 -73.817722 1.1016154 1.3e-06 0.74 6000.09833 17.92 17.38 16.711 16.22 16.013 0.053 0.090 0.144 AAB 2451905.5462
8.936958 -73.440472 3.5697011 1.72e-05 0.504 6003.36041 16.758 16.12 15.628 15.509 15.359 0.033 0.056 0.088 AAA 2451876.5381
8.684917 -73.075361 2.967648 1.15e-05 0.315 6000.60107 17.09 16.387 15.917 15.702 15.699 0.034 0.054 0.100 AAA 2451905.5492
8.965083 -74.062194 1.3582954 7.8e-06 0.55 6000.05535 17.503 17.118 16.618 16.564 16.257 0.063 0.148 0.179 ABC 2451876.5356
8.99425 -73.4825 3.141169 4.3e-06 0.538 6002.28602 16.431 15.757 15.304 14.937 14.911 0.028 0.041 0.058 AAA 2451876.538
7.915458 -72.676306 2.5754313 2.1e-06 0.81 6001.11158 16.541 15.953 16.432 16.236 15.968 0.053 0.104 0.144 AAB 2451901.5508
7.915458 -72.676306 0.9788702 1e-06 0.585 6000.82615 17.551 16.986 16.432 16.236 15.968 0.053 0.104 0.144 AAB 2451901.5508
7.287 -72.886056 4.3041835 3.85e-05 0.164 6004.10494 16.027 15.264 14.811 14.457 14.454 0.027 0.036 0.045 AAA 2451904.5595
7.645417 -72.986083 1.2940584 1.5e-06 0.494 6000.93371 17.591 17.015 16.74 16.365 16.251 0.068 0.122 0.175 ABC 2451867.5749
7.867958 -72.755417 1.0993577 1.8e-06 0.451 6000.15137 17.769 17.165 13.953 13.597 13.502 0.021 0.026 0.028 AAA 2451901.5505
7.893583 -72.873889 1.5102873 3.9e-06 0.294 6000.30444 17.519 16.884 16.316 16.082 16.046 0.054 0.1 0.162 AAC 2451901.55
7.915458 -72.676306 1.4806144 1.6e-06 0.7 6000.63557 17.44 16.844 16.432 16.236 15.968 0.053 0.104 0.144 AAB 2451901.5508
7.976875 -72.940222 2.1737389 2e-06 0.673 6001.01755 17.007 16.382 15.927 15.557 15.352 0.04 0.068 0.081 AAA 2451901.5498
8.274375 -72.923222 1.6340158 1.6e-06 0.604 6001.59297 17.267 16.634 16.442 16.101 16.119 0.054 0.086 0.158 AAC 2451901.5594
7.867958 -72.755417 2.1172076 2.6e-06 0.717 6001.21663 17.01 16.404 13.953 13.597 13.502 0.021 0.026 0.028 AAA 2451901.5505
8.991375 -72.970472 0.9625698 1.1e-06 0.477 6000.49379 18.046 17.492 17.025 17.028 16.634 0.089 0.214 0.239 ADD 2451876.54
7.915458 -72.676306 3.4395438 3.8e-06 0.651 6003.43872 16.082 15.413 16.432 16.236 15.968 0.053 0.104 0.144 AAB 2451901.5508
7.915458 -72.676306 1.8531064 1.5e-06 0.756 6001.32584 17.119 16.536 16.432 16.236 15.968 0.053 0.104 0.144 AAB 2451901.5508
9.014417 -73.933 16.2961015 0.0001726 0.55 6013.33738 14.729 13.842 13.118 12.783 12.707 0.019 0.022 0.022 AAA 2451876.5361
9.042833 -73.944639 1.0294584 1.6e-06 0.445 6000.98631 18.321 17.728 17.495 16.864 16.629 0.143 0.190 0.257 BCD 2451876.5361
9.046583 -73.750611 1.3725058 1.1e-06 0.749 6000.1934 17.514 16.931 16.518 16.467 16.372 0.058 0.131 0.191 ABC 2451876.5369
9.057333 -73.985278 3.2778027 4.2e-06 0.702 6001.50641 16.611 15.969 15.547 15.195 15.137 0.03 0.048 0.065 AAA 2451876.5359
9.075458 -73.773583 9.4509204 0.000167 0.551 6003.53833 -99.99 14.216 13.507 13.219 13.181 0.018 0.022 0.023 AAA 2451876.5368
9.111833 -73.726833 1.2223121 2.2e-06 0.34 6000.23816 17.915 17.281 16.858 16.314 16.415 0.076 0.117 0.204 ABC 2451876.537
9.232083 -73.941139 14.3813503 9.51e-05 0.465 6003.46504 14.762 13.963 13.309 13.061 12.973 0.019 0.023 0.022 AAA 2451876.5361
9.233208 -73.073306 1.3409658 1e-06 0.641 6000.08293 17.607 17.057 16.687 16.684 16.115 0.066 0.160 0.157 ACC 2451876.5396
9.435083 -74.246861 1.0219684 1.3e-06 0.435 6000.73814 18.28 17.657 16.143 15.727 15.495 0.043 0.071 0.096 AAA 2451876.5552
9.37075 -73.966722 5.7945008 1.54e-05 0.482 6001.37278 15.826 15.074 14.478 14.159 14.088 0.02 0.025 0.037 AAA 2451876.554
